               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089259,             0.02308,                   0,             0.33191,             0.52741,             0.30179,             0.11411,            0.057797,            0.013681,                   0,            0.070291,            0.003301,            0.003301
                   1,            0.056256,            0.017255,                   0,             0.57703,             0.71111,             0.67253,             0.26482,            0.044639,            0.010016,                   0,             0.04016,           0.0065029,           0.0065029
                   2,            0.047861,            0.014128,                   0,             0.76528,             0.86074,             0.87791,             0.50573,            0.036311,           0.0085135,                   0,           0.0098965,           0.0095729,           0.0095729
                   3,            0.041394,            0.011496,                   0,             0.86517,             0.93158,             0.93989,              0.5233,            0.036357,           0.0066332,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.035958,           0.0092733,                   0,             0.91747,             0.93185,             0.95246,               0.667,            0.025763,           0.0059972,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.032274,           0.0083764,                   0,             0.93002,             0.94505,             0.95703,             0.66225,            0.026212,           0.0056244,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.030167,           0.0077181,                   0,             0.92718,             0.95852,             0.97322,             0.64137,            0.023108,           0.0053146,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.028157,           0.0073097,                   0,             0.92342,             0.95556,             0.97154,             0.72245,            0.020789,           0.0052516,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.027033,            0.007429,                   0,             0.93172,             0.92444,             0.96466,             0.67263,            0.023506,           0.0052128,                   0,            0.008614,            0.008614,            0.008614
                   9,             0.02631,           0.0069283,                   0,             0.94891,                0.96,             0.97842,             0.73186,             0.01866,           0.0048387,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.024997,           0.0068539,                   0,             0.93181,             0.97169,             0.97803,             0.74543,            0.018844,            0.004786,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.023893,            0.006381,                   0,             0.94413,             0.95704,             0.98246,             0.78803,            0.016425,           0.0045589,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.022959,             0.00621,                   0,             0.94171,             0.95852,             0.98225,             0.78589,            0.017583,           0.0045651,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.022601,           0.0062232,                   0,              0.9382,              0.9446,             0.97507,             0.77976,            0.017299,            0.004495,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.021259,            0.006024,                   0,              0.9406,             0.93185,             0.97333,             0.77166,            0.017745,           0.0045101,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.020522,           0.0058405,                   0,             0.93866,             0.95556,             0.96838,             0.78916,            0.016104,           0.0043578,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.020443,           0.0057989,                   0,             0.94683,             0.95852,             0.98159,             0.82156,            0.015208,           0.0042498,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.020156,           0.0057821,                   0,             0.95095,             0.94786,             0.98201,             0.79247,            0.016539,           0.0042493,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.019713,           0.0057308,                   0,             0.95096,             0.94963,              0.9779,             0.82733,            0.014276,           0.0041852,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.018968,           0.0055918,                   0,              0.9397,             0.95259,             0.97429,             0.82752,            0.014033,           0.0041388,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.018655,           0.0055453,                   0,             0.96134,             0.95787,             0.98104,             0.84542,            0.013736,           0.0040849,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.018459,           0.0055212,                   0,              0.9346,             0.97385,             0.98321,             0.77706,            0.017791,            0.004128,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.017718,           0.0052097,                   0,              0.9571,             0.95259,             0.98644,             0.81661,            0.015026,           0.0039951,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.017322,           0.0052547,                   0,             0.94565,             0.95111,             0.98457,             0.83612,            0.013928,           0.0039256,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.017114,           0.0050955,                   0,             0.95222,             0.94963,             0.98181,             0.82225,            0.015038,           0.0040101,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.016639,           0.0050284,                   0,             0.95258,             0.95224,             0.98553,             0.85987,            0.012672,           0.0038012,                   0,            0.005248,            0.005248,            0.005248
