               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  26,            0.016837,           0.0050429,                   0,             0.93995,             0.96296,             0.98041,             0.84685,            0.013964,           0.0040203,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.016565,           0.0050855,                   0,             0.94521,             0.97113,             0.98747,             0.84378,            0.013957,           0.0038196,                   0,            0.004852,            0.004852,            0.004852
                  28,             0.01601,           0.0048966,                   0,              0.9394,             0.96453,              0.9824,             0.85008,            0.012887,           0.0038544,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.015692,           0.0048174,                   0,             0.94064,             0.96593,             0.98234,              0.8369,            0.014163,           0.0039666,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.015521,           0.0048673,                   0,             0.95568,                0.96,              0.9856,             0.86279,            0.012753,           0.0037507,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.015197,            0.004842,                   0,             0.95528,             0.94941,             0.98638,             0.85677,            0.012663,           0.0037419,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.014318,            0.004561,                   0,             0.95644,             0.95704,              0.9853,             0.84496,            0.013361,           0.0037341,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.014623,           0.0047579,                   0,             0.95391,             0.94667,             0.98492,              0.8611,              0.0124,           0.0036924,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.014586,           0.0046755,                   0,             0.96134,             0.95781,             0.98642,             0.85332,            0.013479,           0.0037367,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.014642,           0.0046733,                   0,             0.95685,             0.95278,             0.98386,              0.8614,            0.012643,           0.0037309,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.014199,           0.0045916,                   0,             0.95273,             0.95549,             0.98462,             0.84862,            0.013196,           0.0037583,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.013574,           0.0044077,                   0,             0.94303,             0.95641,             0.98459,             0.86615,            0.012408,           0.0037076,                   0,            0.002872,            0.002872,            0.002872
